priority,player_id,name,team_code,team_name,position,current_overall,suggested_overall,issue,reason,data_needed,confidence
1,00-0010137,Ray Lucas,MIA,Miami Dolphins,QB,78,80,Starting-QB slot rated 78 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
1,00-0010261,Tommy Maddox,PIT,Pittsburgh Steelers,QB,75,80,Starting-QB slot rated 75 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
1,00-0019623,Tim Rattay,SF,San Francisco 49ers,QB,77,80,Starting-QB slot rated 77 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
1,00-0010455,Jamie Martin,LAR,St. Louis Rams,QB,73,80,Starting-QB slot rated 73 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
1,00-0008970,Paul Justin,LAR,St. Louis Rams,QB,73,80,Starting-QB slot rated 73 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0007832,Bobby Hoying,LV,Oakland Raiders,QB,74,80,Starting-QB slot rated 74 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0020405,Marques Tuiasosopo,LV,Oakland Raiders,QB,72,80,Starting-QB slot rated 72 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
1,00-0020126,Tory Woodbury,NYJ,New York Jets,QB,72,80,Starting-QB slot rated 72 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0020305,A.J. Feeley,PHI,Philadelphia Eagles,QB,74,80,Starting-QB slot rated 74 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
1,00-0011378,Rick Mirer,SF,San Francisco 49ers,QB,73,80,Starting-QB slot rated 73 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2001 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0008097,Brad Jackson,BAL,Baltimore Ravens,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
